IDText,Text,predicted_label
TXT0226,kok bisa ya kamu salah sejauh itu soal anggaran prabowo wan angin bobbypoerwana dukungantulus untuk02 penasaran kebebasan ptn top 10 menhan nyebokin nangisin goblok pt tmi,Politik
TXT0227,sabar_setiabudi  demokrasi sdh di rusak 02 rkyt sdh cerdas prabowo akan tumbang lg utk ke 4x nya jd presiden itu pasti,Politik
TXT0228,lembaga survei australia sebut elektabilitas anies melonjak abrisatu optimis amin pemenang pilpres 2024 re oposisicerdas,Politik
TXT0229,prabowo serang anies pemimpin jangan ngomong aja re oposisicerdas,Politik
TXT0230,2024 akan penuh dengan kejutan prabowo gibran menang satu putaran bukan ngawang2 tapi optimisme yang terukur dan berdasar data dan fakta pemerintahan jokowi sebentar lagi akan berakhir menggoreskan kenangan indah yang harus dilanjutkan dan terus ditingkatkan dan kerinduan rakyat keluarga asn tni polri terhadap sosok sby dan jokowi sudah terwakilkan di paslon 02 militer sipil sebuah pasangan yang realistias dengan kondisi saat ini dan masa depan re heraloebss,Politik
TXT0231,ganjarmahfud adalah pemimpin yang mendukung kesejahteraan semua lapisan masyarakat allenaaxxaa happy new year   l3bihbaik,Politik
TXT0232,inilah desak anies yg sudah di lakukan masih menjabat gub dki jadi acara debatanies saat ini bukan sekedar mencari perhatian tuk pilpres 2024 tapi ini melanjutkan tradisi demokrasi yg sehat  aminajadulu,Politik
TXT0233,oposisicerdas sombong skrg aja kubu prabowo inidgn cara apa bisa menang ingat ya kalau terpilih berdasarkan demokrasi yg  rakyat tidak  jika sebaliknyajgn anggap main2 pemilik mutlak di negeri iniingat ini adalah pesta demokrasi rakyat,Ideologi
TXT0234, justru kalau prabowo menang akan bahaya buat keutuhan dan kelangsungan indonesia dia sudah bilang kalau 2030 nkra akan hancur ditolak org papua dll,Ideologi
TXT0235,demokrasi kita diwujudkan di indonesian democratic party februari 2024 mantap ayo kita jadikan momen ini lebih bermakna dengan memilih ganjar pranowo   jnk,Politik
TXT0236,rocky_antonie debat cuma modal bego dongok tolol 2004 ganjar dpr prabowo kalah di golkar 2009 ganjar dpr prabowo gagal cawapres 2014 ganjar gubernur prabowo gagal capres 2019 ganjar n anis gubernur prabowo gagal capres prabowo gagal mlulu anis menang 1 kali itupun brutal,Politik
TXT0237,kesejahteraan keluarga prajurit menjadi komitmen ganjar bukanakdajjal debatcapres   coblos97,Politik
TXT0238,menurut calon presiden nomor urut 3 ganjarpranowo seluruh yang tumpang tindih dari sisi regulasi perlu harmonisasi dan sinkronisasi selain itu lanjutnya pada tingkat tidak ada keputusan maka pemimpin tertinggi harus berani mengambil keputusan itu ganjar menyampaikan hal ini sebagai jawaban atas pertanyaan bagaimana komitmen paslon terhadap penataan institusi pertahanan dan keamanan karena kewenangan institusi di sektor keamanan sangat penting tetapi masih terjadi tumpang tindih pertanyaan dari panelis berlangsung saat debatcapres di istora senayan jakarta minggu 712024 tema debatpilpres ketiga ini adalah seputar geopolitik hubungan internasional serta pertahanan dan keamanan tonton keseruan debat ketiga pilpres yang sedang berlangsung di youtube kompascom n ganjarmahfud ganjarpranowo jernihmemilih pemilu2024kcm   pemilu pilpres kpu re kompascom,Pertahanan dan Keamanan
TXT0239,gaya kepemimpinan ganjar pranowo capres no urut 3 patut kita berikan jempol beliau terjun langsung ke masyarakat bukan karena hanya mau menjadi calon presiden tapi itu sudah dilakukan beliau sejak dari legislatif memang sudah gaya kepemimpinan beliau selalu terjun ke masyarakat untuk mendengar langsung aspirasi atau keluhankeluhan dari warganya ãâÿââÿãââãââãâÿââ    re ,Ideologi
TXT0240,yudira13 aniesbaswedan prabowo ganjarpranowo terus dan terus sampaikan kebenaran dan fakta itu ke publik agar rakyat indonesia paham bahwa ada etika2 hukum yg di injak2 oleh para penguasa hanya untuk melanggengkan kekuasaannya goodjob ãâÿââ,Politik
TXT0241,istri mendiang munir prabowo harus tanggung jawab soal penculikan aktivis 1998 re oposisicerdas,Politik
TXT0242,seusai diduga mengeroyok relawan ganjar 15 prajurit tni ditahan brigjen kristomei ditindak tegas re oposisicerdas,Pertahanan dan Keamanan
TXT0243,pak ganjar pranowo dan pak mahfud md adalah tim yang cocok untuk membawa inovasi ke d pemerintahan ganjar mahfud hebat coblos3 3gm  ,Politik
TXT0244,gw 15 tahun menjadi bagian dari diaspora indo di ln cuma bisa ketawa ketika anies bicara kuliner dan rumah budaya di setiap region di seluruh dunia mungkin passport hijau gw kalau bisa denger juga ikutan ketawa re hasmibakhtiar,Sosial Budaya
TXT0245,afutami jujur pak anies beneran keliatan menuntut pertanggung jawaban negara thdp anggaran dan program selama ini terlihat kecewa dgn approach pertahanan slm iniyg lagi2 menegaskan posisinya sbg pihak perubahan sadly org indonesia rasanya selalu tdk suka dengar mode kritik dpn umum,Pertahanan dan Keamanan
TXT0246,prabowo diberi rapor merah oleh ganjar dan anies re oposisicerdas,Politik
TXT0247,dengan ganjarmahfud diharapkan umkm dapat merasakan sentuhan langsung dari pemerintah dalam memperluas jangkauan dan meningkatkan daya saing mereka bananabluee2 happy new year   l3bihbaik,Ekonomi
TXT0248,ganjarmahfud berkomitmen akan berantas habis praktik kkn dengan tiga strategi demi mewujudkan pertumbuhan ekonomi di indonesia pdiperjuangan  ganjarpresiden    ganjarsatset mahfudtastes re pdi_perjuangan,Ekonomi
TXT0249,kasihan nih prabowo jadi korban fitnah anies yang suka sembrono sebut anggaran fasterkyu dukungantulus untuk02 penasaran kebebasan ptn top 10 menhan nyebokin nangisin goblok pt tmi,Politik
TXT0250,ganjarmahfud adalah solusi yang tepat untuk mewujudkan indonesia yang lebih merata dalam pertumbuhan ekonomi arunaurgf___ happy new year   l3bihbaik,Ekonomi
TXT0251,terima kasih karena menyebut penanganan kekerasan seksual dalam pembacaan visi misi yg dihubungkan dengan reformasi kepolisian pak terima kasih juga pak anies menyebut perlindungan perempuanamp anak juga tppo sebab keamanan bukan soal kalau kita lemah nanti ditindas re mardiasih,Sosial Budaya
TXT0252,ringkasan anies baswedan menjadi cawapres yang paling banyak dibicarakan netizen pasca debat berlangsung anies mengantongi 429k mention diikuti oleh prabowo subianto dengan 396k mention dan di posisi terakhir yaitu ganjar pranowo dengan 329k mention anies juga paling banyak dibincang dalam nada positif dengan perolehan sentiment positif mencapai 71 diikuti ganjar 69 dan prabowo 31 adapun sentimen negatif tertinggi diraih oleh prabowo dengan 64 diikuti anies 23 dan ganjar 17 hingga selesainya pelaksanaan debat warganet berikan sejumlah julukan pada para capres seperti el chef capres 01 el gemoy capres 02 dan munculnya julukan baru el chudai capres 03 sebagai substitusi panggilan ãââœden bokepãââ yang sebelumnya digunakan untuk menyebut ganjar gimik yang banyak dibahas oleh netizen diantaranya soal penggunaan diksi ãââœomon ãââ omonãââ mamat gunshop nilai untuk menhan potongan video statemen prabowo dan aksi prabowo yang memotong pembicaraan anies pasca debat ini isu yang masih diangkat yaitu perihal pro kontra keterbukaan data pertahanan indonesia dan anggaran pertahanan yang mencapai 700 t serta simpati pendukung kepada prabowo yang dianggap didzolimi karena diserang oleh kedua capres lain saat debat re ismailfahmi,Politik
TXT0253,pengamat politik universitas jember dr muhammad iqbal menilai bahwa calon presiden anies baswedan masih menjadi raja debat dengan seni adu argumen pada debat ketiga yang digelar kpu ri di istora senayan pada minggu 7012024 malam ia mengatakan anies kembali menegaskan bahwa indonesia harus menjadi panglima diplomasi dan pemimpin yang efektif diperhitungkan di asean sehingga kebersamaan negara anggota asean diyakini mampu berperan aktif menemukan solusi atas konflik nine dash line yang diklaim sepihak oleh tiongkok simak berita selengkapnya di hardnews_politik newsone  politik tvonetvpemilu  maumemilih capres cawapres pemilu2024 pilpres2024 aniesbaswedan  re tvonenews,Politik
TXT0254,ganjar akan memberantas kkn dan pungli demi kesejahteraan kaum buruh di indonesia  bekasi bekasiãâ ganjar mahfud hebat coblos3 3gm memimpin indonesia ,Politik
TXT0255,ganjarmahfud akan memerangi kemiskinan dengan kebijakan yang efektif antttiiiiii1 happy new year   l3bihbaik,Politik
TXT0256,ganjarmahfud akan menciptakan iklim investasi yang kondusif agungkharismm happy new year   l3bihbaik,Ekonomi
TXT0257,    rohingya masuk nyalahin anies,Sosial Budaya
TXT0258,saat ini warga kampung bayam seharusnya bisa hidup tenang dan nyaman karena telah dibangunkan hunian baru dan layak oleh anies yang saat itu gubernur namun mereka menangis karena  oleh pj gubernur heru warga kemudian mengadu dan anies menerima aduan itu dengan pelukan erat dan tangis yang otomatis membanjiri mata orangorang yang melihat sekarang kewenangannya lagi enggak ada kita samasama rakyat biasa nanti begitu ada kewenangan kita kembalikan apa yang sudah seharusnya yang sabar insyaallah ada waktunya ujar anies dalam dekapan erat rakyat jujur aku nangis banget ãâÿââ re dayatpiliang,Sosial Budaya
TXT0259,kalian berani sumpah apa bahwa yg utama adalah kesejahteraan rakyat kemakmuran bangsa indonesia keadilan hukum dan ekonomi bagi seluruh rakyat indonesia aniesbaswedan prabowo ganjarpranowo re soraya__x,Ideologi
TXT0260,indonesia bukan warisan jokowi mari selamat kan demokrasi hardnews_viral newsone  politik prabowo viralcilincing operasi200ribu pilpres2024  prabowo ,Politik
TXT0261,jubir amin soal tanah prabowo janjinya buat rakyat tapi tak dilaksanakan re oposisicerdas,Politik
TXT0262,ganjarpranowo mohmahfudmd inisiatif ganjar dalam mengurangi kemiskinan membawa perubahan positif yang nyata,Sosial Budaya
TXT0263,ganjarmahfud membawa semangat sportivitas dan persatuan dalam setiap lapisan masyarakat tuanputrii27 happy new year   l3bihbaik,Politik
TXT0264,anies protes simulasi surat suara hanya 2 paslon tidak usah mainmain re oposisicerdas,Politik
TXT0265,bonus demografi akan menjadi potensi besar yang dimanfaatkan untuk memacu pertumbuhan ekonomi dan ganjarmahfud memiliki visi jelas untuk mewujudkannya moontaoji happy new year   l3bihbaik,Ekonomi
TXT0266,saya dulu berpikir polarisasi akan berkurang kalau jokowi menggandeng prabowo dalam koalisi ternyata setelah jokowi dan prabowo bergabung dalam pilpres 2024 yang terjadi malah lebih parah dari pilpres sebelumnya jangan siasiakan nyawa yang melayang dan darah yang tertumpah selamatkan demokrasi kita dari prabowo gibran ãâÿââª re paltiwest,Politik
TXT0267,dukung ganjar dan mahfud agar indonesia bisa bersatu dalam pertumbuhan ekonomi andirevltns happy new year   l3bihbaik,Ekonomi
TXT0268,penurunan paksa iklan videotron anies baswedan timnas amin berencana mengambil langkah hukum re oposisicerdas,Politik
TXT0269,markxiaoj daedosoo iya buat timses pak anies makasih ya udh kasih kami ruang untuk berdemokrasi sesuai dgn apa yg kami senangi,Politik
TXT0270,prabowo pembohong besar tidak layak jadi calon presiden gerindra kamera menunjukkan prabowo pergi ketika mau didatangi anies ,Politik
TXT0271,mk kpu dpr menteri bawaslu asn apdesi lembaga survei polri tni dear president jokowi apakah kami yang bukan pendukung prabowo dan gibran_tweet masih rakyat anda inikah wajah demokrasi riang gembira yang sesungguhnya re nichnach8,Politik
TXT0272,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa jnk ,Ekonomi
TXT0273,debat capres pertama ganjar tegaskan jaga demokrasi dan sikat korupsi bengis ganjar mahfud hebat coblos3 3gm  debatcapres,Politik
TXT0274,ganjarmahfud memiliki komitmen kuat untuk memastikan adanya investasi di desa annisakoto3 happy new year   l3bihbaik,Ekonomi
TXT0275,tanah yg disinggung sianies semalam rupanya pnh digadaikan pak prabowo utk mengusung sianies jd gubernur dki inna lillahi re chavesz08,Politik
TXT0276,ãâÿââœ ganjar mahfud hebat 3gm coblos3   a0gunromli a0 bersih kuatkankpk sikatkorupsi hebata0 bukan nyogok tapi kkn korupsi kolusi nepotisme bersih kuatkankpk mahfud md,Politik
TXT0277,pak anies terkejut amp tidak mau banyak berkomentar soal presiden kok ikut memberikan komentar debatcapres biarkan publik yg menilai dalam debat harus misa menjawab dan jangan berlindung dalam kerahasiaan ketika tidak bisa menjelaskan ãâÿââ aminajadulu  re bangpino__,Politik
TXT0278,ganjarpranowo aniesbaswedan mohmahfudmd prabowo bersama ganjar mahfud indonesia bersih dari korupsi re urrangawak,Politik
TXT0279,wuih kemandirian industri digital kita pasti makin meningkat nih dukungan ganjarmahfud ke umkm lokal melalui ecommerce bakal jadi dorongan besar buat pertumbuhan ekonomi digital kita deliverygurll happy new year   l3bihbaik,Ekonomi
TXT0280,pendidikan adalah investasi jangka panjang dan ganjar memastikan prajurit memiliki dukungan penuh publikasi_kan debatcapres   coblos66,Politik
TXT0281,buzzerr prabowogibran tidak punya rasa kemanusiaan mereka ramairamai membela oknum tni yang telah menghajar para relawan ganjarmahfud bahkan paling ironi mereka mendukung dan membenarkan tindakan oknum tni itu ya allah apakah mereka sudah tidak punya urat nadi kemanusiaan semua partai politik yang memiliki anggota legislatif kuat di daerah pasti akan melakukan kampanye dengan berbagai model parade ada yang pakai knalpot brong ada juga yang pakai mobil terbuka bawa alat musik semua dilakukan calegcaleg untuk menyambut uforia pesta demokrasi bersama basis masa di dapilnya entah itu pdip  atau yang lainya ãââ hal yang sudah di anggap jamak lumrah karena bagian dari tradisi pemilihan caleg atau presiden tiap 5th an banyak juga yang ditangkap polisi satlantas motor mereka dibkandangin tidak bisa keluar karena mungkin pajaknya mati atau ternyata tidak ada suratnya nanti paling calegnya kasih uang ganti rugi karena kadernya kena tilang atau motornya ditahan nah kalo kejadian di boyolali itu kalian para pendukung prabowogibran membela tni sangat kejam dan moral kalian sudah minggat garagara hanya nomor rekening masuk tiap bulan apa ini memperlihatkan bahwa aparat tidak netral dan mereka berada dalam rangkaian ritual itu kemanusiaan kalian dimana jelas oknum tni di markas 408 boyolali itu melakukan kekerasan bahkan kemarin waktu saya menjenguk salah satu korban bilang bahwa mereka semua bertuju diseret masuk ke markas dan dihajar secara bancaan sampai terluka berat ada satu korban belum sadar sampai sore kemarin apa itu tugas tni sedangkan jalan raya boyolali itu adalah jalan provinsi bukan jalab tni kepala satuan bisa saja tlp kasatlantas untuk menangkap mereka jika melanggar lalulintas karena hukum lalu lintas itu tidak di hajar sampai terluka parah seperti itu kamu dimana empatimu buzerr pak prabowo dan mas gibran_tweet ini bukan masalah yang dihajar relawan ganjarpranowo mohmahfudmd ini soal kemanusian yang warga sipil sudah di hakimi oleh oknum tni yang secara keji bertindak semanamena tolong tementemen yang masih punya empati kawal terus kasus ini biar nanti tidak terulang lagi dan menimpa pihak manapun terimakasih re gus_raharjo,Pertahanan dan Keamanan
TXT0282,dengan ganjarmahfud kotakota akan menjadi magnet ekonomi yang menarik investasi asmaulbinmaul happy new year   l3bihbaik,Ekonomi
TXT0283,sebut gaza dilindas karena tak punya kekuatan militer prabowo dianggap tanpa empati re oposisicerdas,Pertahanan dan Keamanan
TXT0284,pentingnya etika momen pendukung prabowo gibran teriak mengumpat di acara debat capres 2024 re muhiqr,Sosial Budaya
TXT0285,di debat ketiga capres prabowo subianto optimis utang luar industry   02melanjutkan,Ekonomi
TXT0286,pasangan duet capres cawapres ganjar pranowo dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk indonesiajn18a jnk  ,Politik
TXT0287,ganjarmahfud bikin kebijakan pro kesejahteraan aph tas tes ramdhanistwn_   coblos3,Politik
TXT0288,suasana kebangsaan yang penuh semangat tercipta di sholawat kebangsaan ganjarmahfud di kota solo ketika ribuan masyarakat bersatu dalam menyanyikan lagu kebangsaan indonesia raya  jawatengah jawa tengah jateng,Sosial Budaya
TXT0289,ganjar pranowo 03 menjadikan pelayanan publik efisien dan transparan kita bangun bersama menuju pemerintahan yang lebih baik ,Politik
TXT0290, berantas korupsi seminimal mungkin demi kemajuan dan kesejahteraan rakyat indonesia dukung dan menangkan ganjarmahfud di pilpres 2024 ãâÿââÿãâÿââÿ re tigadhewa,Politik
TXT0291,cara prabowogibran hapus korupsi sejahterakan pejabat negara re tirtoid,Politik
TXT0292,capres no urut 03 ganjar pranowo ajak ipb berani memimpin lewat kontrak terbuka untuk kedaulatan panganjnk  ,Politik
TXT0293,kejadian pak prabowo menyela ketika pak anies ngomong jadi sesuatu yg menunjukkan karakter yg sebenarnya debat ada tata aturan gagasan dan bantahan ga santai ah kasian anies jadi berkurang waktunya anies prabowo ganjar  pilpres2024 debatcapres re ,Politik
TXT0294,tempodotco waduh mas agusyudhoyono mmgnya itu anggaran pandemi keluar dr harta pribadi pak prabowo ingat itu anggaran uang rakyat disaat rakyat susah ya sdh kewajiban ngr utk bantu ingat skali lagi bkn jasa dr menhan,Politik
TXT0295,caleg pada kampanye gw juga ahh inget yah tanggal 14 februari itu kita ber demokrasi yang mau coblos anies dipersilahkan yang tidak pilih prabowo enggak apa2 yang enggak mendukung ganjar juga boleh semua asikasik aja wirrrrr re ffathurf,Politik
TXT0296,hubungan internasional jadi makin solid dengan kebijakan pro kesejahteraan ganjarmahfud you rock rainrumian   coblos3,Politik
TXT0297,prabowo jawab anies soal selatanselatan kalau hanya ngomong kumaha re oposisicerdas,Politik
TXT0298,anies baswedan sebut pemerintah selama ini tak serius urusi pupuk temponasional re tempodotco,Politik
TXT0299,ganjar pranowo mahfud md pemimpin yang merakyat dorong pertumbuhan ekonomi yang merata ganjar mahfud hebat l3bihbaik   guru ngaji satu juta,Ekonomi
TXT0300,prabowo berulangkali menyalahkan bu sri mulyani atas kinerja buruk dirinya sebagai menhan ãâÿââ siapa lagi yg salah pak pak basuki karena anggaran pupr menyedot anggaran kemhan atau bu retno marsudi karena diplomasi internasional beliau yg mantap mengambil spotlight dari anda re chicohakim,Pertahanan dan Keamanan
TXT0301,ganjarmahfud memenangkan dukungan rakyat dengan kebijakan yang bersifat konkret dan memberantas korupsi di kepolisian mentalhealthy8   coblos3,Politik
TXT0302,visi ganjarmahfud akan menggerakkan pertumbuhan ekonomi yang merata di seluruh penjuru indonesia andresmlnaa happy new year   l3bihbaik,Ekonomi
TXT0303,mantan ketua umum pbnu periode 20102021 said aqil siroj menyatakan dukungan terhadap capres dan cawapres paslon 01 anies baswedancak imin amin pemilupedia bisnisupdate update bisnis oneliner re kumparan,Politik
TXT0304,pak prabowo dan mas gibran_tweet berkomitmen memberantas korupsi hingga ke akarakarnya melakukan perbaikan sistem dan  untuk menghapuskan korupsiãâ diãâ indonesia prabowogibran  re prabowogibran2,Politik
TXT0305,pengalaman 10 tahun di legislatif dan 10 tahun di eksekutif memperlihatkan pengalaman dan sudah terujinya capres no urut 3 ganjar pranowo dalam menjalankan roda pemerintahan ãâÿââãâÿââÿãââãââ  ganjarpresiden re ,Politik
TXT0306,saya membacanya ketika pak bowok bilang omon omon omon adalah sebagai bentuk tekanan yang luar biasa karena kena ulti terus sama pak anies ãâÿââãâÿââãâÿââ debatcapres aminajadulu  re bangpino__,Politik
TXT0307,capres no urut 03 ganjar pranowo ajak ipb berani memimpin lewat kontrak terbuka untuk kedaulatan panganjnk  ,Politik
TXT0308, ganjar pranowo semoga daerah lain yang kekeringan mendapatkan perhatian yang sama terutama dari pemerintah terimakasih pak ganjar ãâÿââ mahfud hebat    l3bihbaik happy new year,Politik
TXT0309,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa jnk ,Ekonomi
TXT0310,wah capres no urut 03 ganjar pranowo bukan sekedar bicara tapi tindakan dia tawarkan kontrak terbuka ke ipb untuk bantu kedaulatan pangan kitajnk  ,Politik
TXT0311,sukses terus ganjarmahfud dalam mewujudkan janjinya alokasikan 50 persen anggaran buat koperasi dan umkm ekonomi kerakyatan pasti semakin maju birupastel0109 happy new year   l3bihbaik,Ekonomi
TXT0312,ganjarmahfud memberikan harapan baru buat umkm dengan kebijakan yang nyata 40 tempat usaha dan 50 anggaran belanja ini baru namanya dukungan ekonomi kerakyatan bubbleteapcy happy new year   l3bihbaik,Ekonomi
TXT0313,tiga orang anggota dewan kehormatan penyelenggara pemilu dkpp mengalami peretasan nomor ponsel selasa 912024 dini hari peretasan itu terjadi pada ponsel milik heddy lugito ratna dewi pettalolo dan dewa raka sandi secara bersamaan handphone saya dihack dan bukan cuma saya nomor saya nomornya bu dewi dan pak dewa bareng di waktu yang bersamaan tadi malam kata ketua dkpp heddy selasa 912024 ia mengaku heran dengan peristiwa peretasan secara berbarengan ini namun tak ingin berprasangka buruk bahwa peretasan ini berkaitan dengan kasus yang sedang mereka tangani dkpp saat ini sedang sederet perkara dugaan pelanggaran etik penyelenggara pemilu salah satunya kasus dugaan pelanggaran etik para komisioner kpu ri perkara ini sudah 2 kali disidangkan dan akan sekali lagi disidangkan para komisioner kpu ri dinilai melanggar etik karena menerima pencalonan putra sulung presiden joko widodo gibran rakabuming 36 sebagai wakil presiden pendamping prabowo subianto padahal syarat usia caprescawapres dalam peraturan kpu tentang pilpres masih minimum 40 tahun tanpa syarat alternatif dkpp juga menerima laporan kasus dugaan pelanggaran etik komisioner bawaslu jakarta pusat yang menilai terjadi dugaan pelanggaran hukum lain dalam aksi gibran bagibagi susu pada momen car free day di jakarta 3 desember 2023 narasi daily re narasinewsroom,Pertahanan dan Keamanan
TXT0314,terima kasih ganjarmahfud dengan mengalokasikan 50 persen anggaran pemerintah dan bumn untuk koperasi dan umkm semoga makin banyak peluang usaha kecil yang berkembang betcheesxz happy new year   l3bihbaik,Ekonomi
TXT0315,demokrasi kita diwujudkan di people party democracy februari 2024 mantap ayo kita jadikan momen ini lebih bermakna dengan memilih ganjar pranowo   jnk,Politik
TXT0316,ganjarmahfud akan membantu memperbaiki iklim investasi di indonesia proveca69 happy new year   l3bihbaik,Ekonomi
TXT0317,kemarin di purworejo ada pertanyaan dari warga bahwa agak aneh buat mereka pks dan pkb bisa bergabung dlm koalisi yg sama saya bilang bisa saja karena mereka sedang memperjuangkan nilai yg sama keadilan sosial bagi seluruh rakyat indonesia dgn presentasinya anies baswedan muhaimin iskandar mereka  dan tepuk tangan nilai universal yg sekarang ini dirasa terganggu memang menjadi pemersatu semua kalangan sama seperti saat perjuangan kemerdekaan semangat itu dirasakan kembali kini perjuangan utk perubahan bagi indonesia yang lebih baik ãâÿââªãâÿââãâÿââ re reiza_patters,Sosial Budaya
TXT0318,pesta demokrasi indonesia bulan depan karena demokrasi itu penting bro ayo kita pastikan kepentingan demokrasi dengan memilih ganjar pranowo   jnk,Politik
TXT0319,di mata rocky gerung prabowogibran beberapa kali lakukan pelanggaran bawaslu tidur re oposisicerdas,Politik
TXT0320,yang satu bisa jadi cawapres hasil melanggar etika yang satu keluar koalisi karena ga jadi dicalonkan sebagai cawapres keduanya sahut2an bicara soal ambisi anies re dapitnih,Politik
TXT0321,pak anies tidak menyerang pribadi pak prabowo melainkan menyerang kinerja pak prabowo selama jadi menhan dan ini kesalahan prabowo sendiri kenapa panas ketika kinerjanya dikritik pak prabowo tidak siap berdemokrasi tidak siap adanya oposisi yg menyerang kebijakan dia re partaimedsos45,Politik
TXT0322,penyebab tragis pengusiran prabowo subianto dari keluarga cendana dituding lakukan hal ini oleh anak soeharto re oposisicerdas,Politik
TXT0323,benarkah aniesmuhaimin pemimpin yang tak diharapkan penguasa re oposisicerdas,Politik
TXT0324,psi dikenal sbg partai yg konsisten serang anies scr barbar khususnya saat menjabat gubernur dki setelah hanya dlm hitungan hari kaesang berhasil jadi ketum psi lalu baliho psi partai jokowi ditebar dimana2 sepertinya jd jelas siapa dalang dibalik serangan terhadap anies ãâÿââ re hipohan,Politik
TXT0325,mawakresna tiap orang punya experience sendiri2 tiap orang punya pendapat sendiri2 negeri ini negeri demokrasi sy lebih suka kepemimpinan pak ganjar ketika menjabat jateng1 sy tidak pernah merasa terancam ketika berada di jalanan di jateng terimakasih om mawakresna,Politik
TXT0326,tegas ketum pbnu sebut khofifah harus nonaktif dari jabatan muslimat nu jika gabung kubu prabowo re oposisicerdas,Politik
TXT0327,masyarakat mendukung ganjarmahfud sebagai calon presiden dan calon wakil presiden 2024 yakin akan terwujudnya polisi yang bersih dan bebas dari korupsi putchez   coblos3,Politik
TXT0328,prabowo serang anies soal anggaran dki dan polusi udara yg disalahkan anies dijuluki wan angin olh buzzers prabowo gibran serang cak imin dg singkatan yg dirujak cak imin anies dan ganjar serang program prabowo yg salah tetep anies pak anies pak anies sorry ye re nephilaxmus,Politik
TXT0329,ganjar optimis capai pertumbuhan ekonomi 7 sahabatganjarãâ ãâ ganjar  generasigotongroyongãâ ganjar mahfud hebat l3bihbaik   lulus pasti kerja,Ekonomi
TXT0330,ardiningrum22 debat capres pertama ganjar tegaskan jaga demokrasi dan sikat korupsi bengis ganjar mahfud hebat l3bihbaik   lulus pasti kerja,Politik
TXT0331,keliru klaim anies terkait anggaran kementerian pertahanan rp 700 triliun untuk beli alutsista bekas re ndons_back,Pertahanan dan Keamanan
TXT0332,ganjarmahfud akan menjadi pemimpin yang mampu mengubah kotakota kita menjadi pusat pertumbuhan ekonomi yang kuat alfant507 happy new year   l3bihbaik,Ekonomi
TXT0333,kepemimpinan ganjarmahfud adalah jaminan untuk pemerintahan yang bersih dan transparan kamilborkan happy new year   l3bihbaik,Politik
TXT0334,mas ganjarpranowo tidak pernah mengklaim bahwa dirinya lebih tni dari banyak tni namun ternyata mas ganjar jauh lebih memiliki pemahaman yang komprehensif integratif terukur dan terpadu tentang pertahanan negara alutsista kesejahteraan prajurit tni polri dan geopolitik dibandingkan menhan yang hobi nyapres ãâÿââãâÿââãâÿââ  re __anakkolong,Pertahanan dan Keamanan
TXT0335,ngomongngomong soal mengkritik anies pas jadi gubernur aku punya cerita lucu nih habis kritik rumah dp 0 rupiah terus diajak ketemuan sama alm mas jati lingkaran anies pasti kenal mas jati kami ketemuan di warkop di sekitar blok m sesudah magrib intinya protes soal berita itu dia jelasin panjang lebar soal proyek anies itu dan kritikku keliru jadi perdebatan panjang banget lah part lucunya nih udah kelar debat udah ngobrolin yang lain warkop udah mau tutup eh balik lagi bahas dp 0 rupiah debat lagi sampai ãââœdiusirãââ penjaga warkop karena udah mau tutup udah dong keluar dari warkop kami jalan ke parkiran di parkiran mas jati memulai debat lagi jadi kami berdiri di parkiran debatin rumah dp 0 rupiah keknya sampai jam 12 malam lewat di sana arbi temen yang ikut liputan sampe marah2 udah mau pulang masih ribut ini momen kocak banget kalau diinget2 ãâÿââãâÿââãâÿââ donãâât get wrong sesungguhnya respons begitu lebih menyenangkan buat wartawan ketimbang dikitdikit lapor polisi atau nyerang di medsos sisi baiknya kadang dapat spillan info internal yang menarik buat di follow up jadi liputan re mawakresna,Sosial Budaya
TXT0336,pertumbuhan ekonomi 7 ganjar pranowo emang pilihan tepat buat bangun indonesia yang lebih baik lestimirna_ happy new year   l3bihbaik,Ekonomi
TXT0337,bulan depan people party democracy bukan cuma party biasa tapi party demokrasi dan kita semua bakal berpesta ria dengan memilih ganjar pranowo   jnk,Politik
TXT0338,pasangan duet capres cawapres ganjar pranowo dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk indonesiajn18a jnk  ,Politik
TXT0339,murtadhaone1 anies bacot tapikan emang debat kudu ngomong bukan ngangongãâ² ditanya apa jawab apa dan apa itu beretika seperti itu eh tapikan etik ndasmu,Ideologi
TXT0340,korupsi membahayakan bangsa prabowo subianto tegaskan siap perkuat kpk dan penegak hukum lainnya via kedaipenacom,Politik
TXT0341,keberhasilan ganjarmahfud akan membawa kebahagiaan dan kesejahteraan bagi setiap warga indonesia santimalvaa happy new year   l3bihbaik,Politik
TXT0342,pdip sentil food estate prabowo babat hutan bu mega menaruh perhatian cnn indonesia   02melanjutkan re ,Politik
TXT0343,ini jawaban anies ketika ditanya yg membuat tdk tunduk kepada amerika saya yakin pembenci anies tdk akan bisa komentar apaapa kalau lihat video ini aminajadulu re boediantar4,Politik
TXT0344,anies ingin investasi dan pertumbuhan ekonomi mampu ciptakan lapangan kerja yang sebanding re kba_news,Ekonomi
